session_date,rank,symbol
2025-03-10,1,TSLA
2025-03-11,1,TSLA
2025-03-12,1,TSLA
2025-03-12,2,META
2025-03-17,1,AMD
2025-03-21,1,MSFT
2025-03-21,2,AAPL
2025-03-21,3,AMZN
2025-03-21,4,META
2025-03-21,5,AMD
2025-03-21,6,NVDA
2025-03-21,7,TSLA
2025-03-24,1,TSLA
2025-03-24,2,META
2025-03-25,1,TSLA
2025-03-27,1,AMD
2025-03-31,1,AMZN
2025-03-31,2,MSFT
2025-03-31,3,META
2025-04-03,1,AAPL
2025-04-03,2,META
2025-04-03,3,AMZN
2025-04-03,4,MSFT
2025-04-04,1,AMZN
2025-04-04,2,AAPL
2025-04-04,3,META
2025-04-04,4,NVDA
2025-04-07,1,AAPL
2025-04-07,2,AMD
2025-04-07,3,MSFT
2025-04-07,4,NVDA
2025-04-07,5,AMZN
2025-04-07,6,META
2025-04-08,1,AMD
2025-04-08,2,NVDA
2025-04-08,3,META
2025-04-14,1,AAPL
2025-04-16,1,AMD
2025-04-17,1,MSFT
2025-04-23,1,TSLA
2025-05-01,1,MSFT
2025-05-01,2,META
2025-05-02,1,AAPL
2025-05-02,2,AMZN
2025-05-07,1,AMD
2025-05-08,1,AMD
2025-05-09,1,TSLA
2025-05-12,1,AMZN
2025-05-12,2,AAPL
2025-05-12,3,META
2025-05-12,4,TSLA
2025-05-12,5,AMD
2025-05-12,6,NVDA
2025-05-14,1,AMD
2025-05-14,2,NVDA
2025-05-16,1,AAPL
2025-05-16,2,META
2025-05-16,3,MSFT
2025-05-23,1,AAPL
2025-05-29,1,NVDA
2025-06-05,1,TSLA
2025-06-05,2,AMZN
2025-06-06,1,TSLA
2025-06-09,1,AMD
2025-06-09,2,TSLA
2025-06-13,1,AMD
2025-06-16,1,META
2025-06-16,2,AMD
2025-06-17,1,AMD
2025-06-20,1,AAPL
2025-06-20,2,AMZN
2025-06-20,3,META
2025-06-20,4,NVDA
2025-06-20,5,AMD
2025-06-20,6,TSLA
2025-06-23,1,TSLA
2025-06-23,2,AMD
2025-06-24,1,AMD
2025-06-25,1,NVDA
2025-06-25,2,AMD
2025-06-27,1,AMZN
2025-07-01,1,TSLA
2025-07-01,2,AAPL
2025-07-03,1,AMZN
2025-07-07,1,TSLA
2025-07-10,1,AMD
2025-07-15,1,AMD
2025-07-15,2,NVDA
2025-07-18,1,AAPL
2025-07-18,2,AMZN
2025-07-18,3,META
2025-07-24,1,TSLA
2025-07-29,1,AMD
2025-07-31,1,META
2025-07-31,2,AMZN
2025-08-01,1,AMZN
2025-08-01,2,AAPL
2025-08-06,1,AMD
2025-08-06,2,AAPL
2025-08-07,1,AAPL
2025-08-11,1,TSLA
2025-08-13,1,AMD
2025-08-14,1,AMZN
2025-08-15,1,MSFT
2025-08-15,2,AMZN
2025-08-15,3,AAPL
2025-08-18,1,META
2025-08-28,1,NVDA
2025-09-02,1,META
2025-09-02,2,MSFT
2025-09-03,1,AAPL
2025-09-04,1,AMZN
2025-09-04,2,META
2025-09-05,1,TSLA
2025-09-05,2,AMD
2025-09-05,3,AAPL
2025-09-08,1,TSLA
2025-09-10,1,NVDA
2025-09-10,2,AAPL
2025-09-10,3,MSFT
2025-09-10,4,AMZN
2025-09-10,5,AMD
2025-09-12,1,TSLA
2025-09-15,1,TSLA
2025-09-18,1,AMD
2025-09-19,1,MSFT
2025-09-19,2,AAPL
2025-09-19,3,AMZN
2025-09-19,4,META
2025-09-19,5,NVDA
2025-09-22,1,AAPL
2025-10-01,1,META
2025-10-02,1,AMD
2025-10-06,1,AMD
2025-10-06,2,META
2025-10-07,1,AMD
2025-10-09,1,AMD
2025-10-14,1,AMZN
2025-10-17,1,MSFT
2025-10-17,2,AAPL
2025-10-20,1,AAPL
2025-10-23,1,TSLA
2025-10-24,1,TSLA
2025-10-29,1,NVDA
2025-10-29,2,META
2025-10-29,3,MSFT
2025-10-30,1,META
2025-10-30,2,MSFT
2025-10-30,3,AMZN
2025-10-31,1,AMZN
2025-10-31,2,META
2025-10-31,3,AAPL
2025-11-03,1,AMZN
2025-11-05,1,AMD
2025-11-07,1,TSLA
2025-11-12,1,AMD
2025-11-14,1,TSLA
2025-11-20,1,NVDA
2025-11-21,1,AAPL
2025-11-21,2,MSFT
2025-11-21,3,AMZN
2025-11-21,4,NVDA
2025-11-25,1,NVDA
2025-11-25,2,AMD
2025-12-03,1,MSFT
2025-12-04,1,META
2025-12-15,1,TSLA
2025-12-17,1,TSLA
2025-12-19,1,AAPL
2025-12-19,2,MSFT
2025-12-19,3,AMZN
2025-12-19,4,NVDA
2025-12-19,5,META
2025-12-19,6,AMD
2025-12-19,7,TSLA
2026-01-02,1,AMD
2026-01-07,1,AMD
2026-01-13,1,AMD
2026-01-13,2,META
2026-01-14,1,MSFT
2026-01-15,1,AMD
2026-01-15,2,MSFT
2026-01-15,3,NVDA
2026-01-16,1,MSFT
2026-01-16,2,AAPL
2026-01-16,3,AMZN
2026-01-16,4,META
2026-01-16,5,NVDA
2026-01-16,6,AMD
2026-01-20,1,META
2026-01-20,2,MSFT
2026-01-20,3,AMZN
2026-01-21,1,AMD
2026-01-22,1,META
2026-01-23,1,AMD
2026-01-23,2,NVDA
2026-01-29,1,META
2026-01-29,2,MSFT
2026-01-29,3,TSLA
2026-01-30,1,AAPL
2026-02-04,1,AMD
2026-02-05,1,AMZN
2026-02-06,1,AMZN
2026-02-09,1,AMZN
2026-02-17,1,AMZN
2026-02-23,1,NVDA
2026-02-24,1,AMD
2026-02-25,1,TSLA
2026-02-26,1,NVDA
2026-02-27,1,NVDA
2026-03-06,1,META
2026-03-11,1,TSLA
2026-03-13,1,META
2026-03-16,1,META
2026-03-19,1,TSLA
2026-03-20,1,AAPL
2026-03-20,2,MSFT
2026-03-20,3,AMZN
2026-03-20,4,META
2026-03-20,5,NVDA
2026-03-20,6,TSLA
2026-03-20,7,AMD
2026-03-25,1,AMD
2026-03-31,1,META
2026-04-06,1,AMD
2026-04-08,1,AMZN
2026-04-08,2,TSLA
2026-04-08,3,META
2026-04-14,1,AMZN
2026-04-14,2,MSFT
2026-04-14,3,NVDA
2026-04-16,1,AMD
2026-04-16,2,MSFT
2026-04-16,3,AAPL
2026-04-17,1,AAPL
2026-04-17,2,AMZN
2026-04-17,3,MSFT
2026-04-17,4,NVDA
2026-04-17,5,AMD
2026-04-20,1,AMD
2026-04-23,1,TSLA
2026-04-24,1,AMD
2026-04-28,1,AMD
2026-04-30,1,META
2026-04-30,2,AMZN
2026-04-30,3,MSFT
2026-05-01,1,AAPL
2026-05-06,1,AMD
2026-05-15,1,MSFT
2026-05-15,2,NVDA
2026-05-15,3,AAPL
2026-05-15,4,AMZN
2026-05-21,1,NVDA
2026-05-26,1,MSFT
2026-05-28,1,META
2026-05-29,1,MSFT
2026-06-01,1,MSFT
2026-06-01,2,NVDA
2026-06-01,3,AMZN
2026-06-01,4,META
2026-06-03,1,META
